"Identificador do processo de viagem";"Código do órgão superior";"Nome do órgão superior";"Codigo do órgão pagador";"Nome do órgao pagador";"Código da unidade gestora pagadora";"Nome da unidade gestora pagadora";"Tipo de pagamento";"Valor"
"0000000000015764855";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170161";"DELEGACIA DA RFB EM MARINGA";"DIÁRIAS                       ";"67,68"
"0000000000015765348";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170531";"SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/DF";"PASSAGEM                      ";"1370,39"
"0000000000015765348";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170531";"SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/DF";"PASSAGEM                      ";"1581,17"
"0000000000015765405";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"400056";"SECRETARIA DE INSPEÇÃO DO TRABALHO - SIT";"DIÁRIAS                       ";"692,40"
"0000000000015765413";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"400056";"SECRETARIA DE INSPEÇÃO DO TRABALHO - SIT";"DIÁRIAS                       ";"692,40"
"0000000000015765517";"39000";"MINISTERIO DA INFRAESTRUTURA";"62201";"AGENCIA NACIONAL DE AVIACAO CIVIL";"113217";"REPRESENTAÇÃO REGIONAL SÃO PAULO_- ANAC";"PASSAGEM                      ";"2183,03"
"0000000000015765528";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170183";"DELEGACIA DA RFB EM SANTA MARIA";"DIÁRIAS                       ";"223,86"
"0000000000015765532";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170183";"DELEGACIA DA RFB EM SANTA MARIA";"DIÁRIAS                       ";"223,86"
"0000000000015765620";"55000";"MINISTERIO DA CIDADANIA";"55000";"MINISTERIO DA CIDADANIA - UNIDADES COM VÍNCULO DIRETO";"550005";"COORDENACAO GERAL DE LICITACOES E CONTRATOS.";"PASSAGEM                      ";"1395,98"
"0000000000015765620";"55000";"MINISTERIO DA CIDADANIA";"55000";"MINISTERIO DA CIDADANIA - UNIDADES COM VÍNCULO DIRETO";"550005";"COORDENACAO GERAL DE LICITACOES E CONTRATOS.";"PASSAGEM                      ";"888,49"
