"Identificador do processo de viagem ";"Sequência Trecho";"Origem - Data";"Origem - País";"Origem - UF";"Origem - Cidade";"Destino - Data";"Destino - País";"Destino - UF";"Destino - Cidade";"Meio de transporte";"Número Diárias";"Missao?"
"0000000000015761974";"2";"20190119";"Brasil";"Amapá";"Macapá";"20190119";"Brasil";"Pará";"Belém";"Aéreo";",00";"Não"
"0000000000015761974";"1";"20190114";"Brasil";"Pará";"Belém";"20190119";"Brasil";"Amapá";"Macapá";"Aéreo";",00";"Sim"
"0000000000015762340";"1";"20190102";"Brasil";"Distrito Federal";"Brasília";"20190104";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Sim"
"0000000000015762340";"2";"20190104";"Brasil";"São Paulo";"São Paulo";"20190104";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015762552";"2";"20190508";"Brasil";"Distrito Federal";"Brasília";"20190508";"Brasil";"Bahia";"Salvador";"Aéreo";",00";"Não"
"0000000000015762552";"1";"20190506";"Brasil";"Bahia";"Salvador";"20190508";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015762850";"1";"20190102";"Brasil";"Roraima";"Boa Vista";"20190102";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015763247";"1";"20190102";"Brasil";"Distrito Federal";"Brasília";"20190103";"Brasil";"Pará";"Belém";"Aéreo";",00";"Sim"
"0000000000015763386";"2";"20190109";"Brasil";"Distrito Federal";"Brasília";"20190109";"Brasil";"Ceará";"Fortaleza";"Aéreo";",00";"Não"
"0000000000015763386";"1";"20190107";"Brasil";"Ceará";"Fortaleza";"20190109";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015763764";"2";"20190103";"Brasil";"Distrito Federal";"Brasília";"20190103";"Brasil";"Minas Gerais";"Uberlândia";"Aéreo";",00";"Não"
"0000000000015763764";"1";"20190102";"Brasil";"Minas Gerais";"Uberlândia";"20190103";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015763885";"1";"20190102";"Brasil";"Roraima";"Boa Vista";"20190103";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015763893";"1";"20190102";"Brasil";"Roraima";"Boa Vista";"20190103";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015763923";"2";"20190105";"Brasil";"Rondônia";"Porto Velho";"20190105";"Brasil";"Rondônia";"Machadinho D,Oeste";"Veículo Oficial";",00";"Não"
"0000000000015763923";"1";"20190104";"Brasil";"Amazonas";"Manicoré";"20190105";"Brasil";"Rondônia";"Porto Velho";"Veículo Oficial";",00";"Sim"
"0000000000015764083";"2";"20190102";"Brasil";"São Paulo";"Jaboticabal";"20190102";"Brasil";"São Paulo";"Monte Alto";"Veículo Próprio";",00";"Não"
"0000000000015764083";"1";"20190102";"Brasil";"São Paulo";"Monte Alto";"20190102";"Brasil";"São Paulo";"Jaboticabal";"Veículo Próprio";",00";"Sim"
"0000000000015764084";"2";"20190104";"Brasil";"São Paulo";"Jaboticabal";"20190104";"Brasil";"São Paulo";"Monte Alto";"Veículo Próprio";",00";"Não"
"0000000000015764084";"1";"20190104";"Brasil";"São Paulo";"Monte Alto";"20190104";"Brasil";"São Paulo";"Jaboticabal";"Veículo Próprio";",00";"Sim"
"0000000000015764157";"1";"20190120";"Brasil";"Pernambuco";"Recife";"20190125";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Sim"
"0000000000015764157";"2";"20190125";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190125";"Brasil";"Pernambuco";"Recife";"Aéreo";",00";"Não"
"0000000000015764219";"1";"20190104";"Brasil";"Paraná";"Toledo";"20190104";"Brasil";"Paraná";"Marechal Cândido Rondon";"Veículo Oficial";",00";"Sim"
"0000000000015764219";"2";"20190104";"Brasil";"Paraná";"Marechal Cândido Rondon";"20190104";"Brasil";"Paraná";"Toledo";"Veículo Oficial";",00";"Não"
"0000000000015764256";"1";"20190108";"Brasil";"Paraná";"Toledo";"20190108";"Brasil";"Paraná";"Marechal Cândido Rondon";"Veículo Oficial";",00";"Sim"
"0000000000015764256";"2";"20190108";"Brasil";"Paraná";"Marechal Cândido Rondon";"20190108";"Brasil";"Paraná";"Toledo";"Veículo Oficial";",00";"Não"
"0000000000015764324";"1";"20190103";"Brasil";"Minas Gerais";"Belo Horizonte";"20190104";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"1,00";"Sim"
"0000000000015764324";"2";"20190104";"Brasil";"Distrito Federal";"Brasília";"20190104";"Brasil";"Minas Gerais";"Belo Horizonte";"Aéreo";",50";"Não"
"0000000000015764381";"1";"20190102";"Brasil";"Rio Grande do Sul";"Santa Maria";"20190102";"Brasil";"Rio Grande do Sul";"Rosário do Sul";"Veículo Oficial";",00";"Sim"
"0000000000015764381";"2";"20190102";"Brasil";"Rio Grande do Sul";"Rosário do Sul";"20190102";"Brasil";"Rio Grande do Sul";"Santa Maria";"Veículo Oficial";",50";"Não"
"0000000000015764391";"2";"20190103";"Brasil";"Minas Gerais";"Alfenas";"20190103";"Brasil";"Minas Gerais";"Poços de Caldas";"Veículo Oficial";",00";"Não"
"0000000000015764391";"1";"20190103";"Brasil";"Minas Gerais";"Poços de Caldas";"20190103";"Brasil";"Minas Gerais";"Alfenas";"Veículo Oficial";",00";"Sim"
"0000000000015764411";"2";"20190107";"Brasil";"Distrito Federal";"Brasília";"20190107";"Brasil";"São Paulo";"Campinas";"Aéreo";",50";"Não"
"0000000000015764411";"1";"20190107";"Brasil";"São Paulo";"Campinas";"20190107";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015764503";"1";"20190107";"Brasil";"Minas Gerais";"Varginha";"20190111";"Brasil";"Minas Gerais";"Pouso Alegre";"Veículo Oficial";"4,00";"Sim"
"0000000000015764503";"2";"20190111";"Brasil";"Minas Gerais";"Pouso Alegre";"20190111";"Brasil";"Minas Gerais";"Varginha";"Veículo Oficial";",50";"Não"
"0000000000015764577";"2";"20190103";"Brasil";"Roraima";"Normândia";"20190103";"Brasil";"Roraima";"Boa Vista";"Veículo Oficial";",00";"Não"
"0000000000015764577";"1";"20190103";"Brasil";"Roraima";"Boa Vista";"20190103";"Brasil";"Roraima";"Normândia";"Veículo Oficial";",00";"Sim"
"0000000000015764600";"1";"20190103";"Brasil";"Roraima";"Normândia";"20190103";"Brasil";"Roraima";"Boa Vista";"Veículo Oficial";",00";"Sim"
"0000000000015764600";"2";"20190103";"Brasil";"Roraima";"Boa Vista";"20190103";"Brasil";"Roraima";"Normândia";"Veículo Oficial";",00";"Não"
"0000000000015764618";"1";"20190103";"Brasil";"Minas Gerais";"Belo Horizonte";"20190103";"Brasil";"Minas Gerais";"Ribeirão das Neves";"Veículo Oficial";",00";"Sim"
"0000000000015764618";"2";"20190103";"Brasil";"Minas Gerais";"Ribeirão das Neves";"20190103";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",00";"Não"
"0000000000015764626";"1";"20190103";"Brasil";"Minas Gerais";"Belo Horizonte";"20190103";"Brasil";"Minas Gerais";"Ribeirão das Neves";"Veículo Oficial";",00";"Sim"
"0000000000015764626";"2";"20190103";"Brasil";"Minas Gerais";"Ribeirão das Neves";"20190103";"Brasil";"Minas Gerais";"Belo Horizonte";"Veículo Oficial";",00";"Não"
"0000000000015764652";"2";"20190103";"Brasil";"Rio Grande do Sul";"Venâncio Aires";"20190103";"Brasil";"Rio Grande do Sul";"Santa Cruz do Sul";"Veículo Oficial";",00";"Não"
"0000000000015764652";"1";"20190103";"Brasil";"Rio Grande do Sul";"Santa Cruz do Sul";"20190103";"Brasil";"Rio Grande do Sul";"Venâncio Aires";"Veículo Oficial";",00";"Sim"
