"Identificador do processo de viagem ";"Sequência Trecho";"Origem - Data";"Origem - País";"Origem - UF";"Origem - Cidade";"Destino - Data";"Destino - País";"Destino - UF";"Destino - Cidade";"Meio de transporte";"Número Diárias";"Missao?"
"0000000000015233002";"1";"20190108";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",00";"Sim"
"0000000000015233002";"3";"20190111";"Brasil";"Paraná";"Curitiba";"20190111";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015233002";"2";"20190110";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190111";"Brasil";"Paraná";"Curitiba";"Aéreo";",00";"Sim"
"0000000000015463315";"1";"20190108";"Portugal";"";"Lisboa";"20190114";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015463318";"1";"20190108";"Portugal";"";"Lisboa";"20190114";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015553025";"2";"20190203";"Brasil";"Piauí";"Teresina";"20190203";"Brasil";"Amazonas";"Manaus";"Aéreo";",00";"Não"
"0000000000015553025";"1";"20190118";"Brasil";"Amazonas";"Manaus";"20190203";"Brasil";"Piauí";"Teresina";"Aéreo";",00";"Sim"
"0000000000015557481";"1";"20190103";"Uruguai";"";"Montevidéu";"20190105";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015557595";"1";"20190103";"Uruguai";"";"Montevidéu";"20190106";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015557640";"1";"20190103";"Uruguai";"";"Montevidéu";"20190106";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015603562";"1";"20190118";"Brasil";"São Paulo";"São Paulo";"20190203";"Brasil";"Piauí";"Teresina";"Aéreo";",00";"Sim"
"0000000000015603562";"2";"20190203";"Brasil";"Piauí";"Teresina";"20190203";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Não"
"0000000000015603601";"1";"20190118";"Brasil";"São Paulo";"São Paulo";"20190203";"Brasil";"Piauí";"Teresina";"Aéreo";",00";"Sim"
"0000000000015603601";"2";"20190203";"Brasil";"Piauí";"Teresina";"20190203";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Não"
"0000000000015606199";"1";"20190102";"Brasil";"Distrito Federal";"Brasília";"20190104";"Uruguai";"";"Montevidéu";"Aéreo";",00";"Sim"
"0000000000015623942";"1";"20190108";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",00";"Sim"
"0000000000015623942";"3";"20190111";"Brasil";"Paraná";"Curitiba";"20190111";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015623942";"2";"20190110";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190111";"Brasil";"Paraná";"Curitiba";"Aéreo";",00";"Sim"
"0000000000015646242";"1";"20190108";"Panamá";"";"Cidade do Panamá";"20190114";"Estados Unidos da América";"";"Miami";"Aéreo";",00";"Sim"
"0000000000015666333";"2";"20190104";"Portugal";"";"Lisboa";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015666333";"1";"20190103";"Bulgária";"";"Sofia";"20190104";"Portugal";"";"Lisboa";"Aéreo";",00";"Não"
"0000000000015666342";"2";"20190104";"Portugal";"";"Lisboa";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015666342";"1";"20190103";"Bulgária";"";"Sofia";"20190104";"Portugal";"";"Lisboa";"Aéreo";",00";"Não"
"0000000000015666348";"2";"20190104";"Portugal";"";"Lisboa";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015666348";"1";"20190103";"Bulgária";"";"Sofia";"20190104";"Portugal";"";"Lisboa";"Aéreo";",00";"Não"
"0000000000015685570";"1";"20190106";"Brasil";"Distrito Federal";"Brasília";"20190108";"Brasil";"Pernambuco";"Recife";"Aéreo";",00";"Sim"
"0000000000015685570";"2";"20190108";"Brasil";"Pernambuco";"Recife";"20190108";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015687397";"1";"20190102";"Uruguai";"";"Montevidéu";"20190104";"Paraguai";"";"Assunção";"Aéreo";",00";"Sim"
"0000000000015687509";"1";"20190102";"Uruguai";"";"Montevidéu";"20190102";"Paraguai";"";"Assunção";"Aéreo";",00";"Não"
"0000000000015687607";"1";"20190102";"Uruguai";"";"Montevidéu";"20190102";"Paraguai";"";"Assunção";"Aéreo";",00";"Não"
"0000000000015697881";"1";"20190108";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Bahia";"Salvador";"Aéreo";",00";"Sim"
"0000000000015697881";"2";"20190110";"Brasil";"Bahia";"Salvador";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015698003";"1";"20190108";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Bahia";"Salvador";"Aéreo";",00";"Sim"
"0000000000015698003";"2";"20190110";"Brasil";"Bahia";"Salvador";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015698359";"1";"20190103";"Brasil";"Roraima";"Boa Vista";"20190117";"Brasil";"Roraima";"Pacaraima";"Rodoviário";",00";"Sim"
"0000000000015698359";"2";"20190117";"Brasil";"Roraima";"Pacaraima";"20190117";"Brasil";"Roraima";"Boa Vista";"Rodoviário";",00";"Não"
"0000000000015700521";"1";"20190102";"Brasil";"Roraima";"Boa Vista";"20190116";"Brasil";"Roraima";"Pacaraima";"Rodoviário";",00";"Sim"
"0000000000015700521";"2";"20190116";"Brasil";"Roraima";"Pacaraima";"20190116";"Brasil";"Roraima";"Boa Vista";"Rodoviário";",00";"Não"
"0000000000015701076";"2";"20190103";"Brasil";"Distrito Federal";"Brasília";"20190103";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",50";"Não"
"0000000000015701076";"1";"20190101";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190103";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"2,00";"Sim"
"0000000000015708969";"1";"20190107";"Brasil";"São Paulo";"São Sebastião";"20190110";"Brasil";"São Paulo";"São José dos Campos";"Veículo Próprio";",00";"Sim"
"0000000000015708969";"2";"20190110";"Brasil";"São Paulo";"São José dos Campos";"20190110";"Brasil";"São Paulo";"São Sebastião";"Veículo Próprio";",00";"Não"
"0000000000015710214";"1";"20190106";"Brasil";"Distrito Federal";"Brasília";"20190111";"Bélgica";"";"Bruxelas";"Aéreo";",00";"Sim"
"0000000000015712266";"1";"20190106";"Espanha";"";"Madri";"20190112";"Haiti";"";"Porto Príncipe";"Aéreo";",00";"Sim"
"0000000000015713793";"1";"20190102";"República Dominicana";"";"Santo Domingo de Guzmán";"20190105";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015713910";"1";"20190102";"República Dominicana";"";"Santo Domingo de Guzmán";"20190103";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015722125";"2";"20190201";"Brasil";"Pernambuco";"Recife";"20190201";"Brasil";"São Paulo";"Piracicaba";"Aéreo";",00";"Não"
"0000000000015722125";"1";"20190128";"Brasil";"São Paulo";"Piracicaba";"20190201";"Brasil";"Pernambuco";"Recife";"Aéreo";",00";"Sim"
"0000000000015722506";"1";"20190104";"Brasil";"Acre";"Rio Branco";"20190105";"Brasil";"Bahia";"Salvador";"Aéreo";",00";"Não"
"0000000000015728406";"2";"20190110";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Bahia";"Salvador";"Aéreo";",50";"Não"
"0000000000015728406";"1";"20190106";"Brasil";"Bahia";"Salvador";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"4,00";"Sim"
"0000000000015731765";"2";"20190105";"Myanmar";"";"Nay Pyi Taw";"20190105";"Myanmar";"";"Yangon";"Aéreo";",00";"Não"
"0000000000015731765";"1";"20190104";"Myanmar";"";"Yangon";"20190105";"Myanmar";"";"Nay Pyi Taw";"Aéreo";",00";"Sim"
"0000000000015734788";"2";"20190111";"Brasil";"Distrito Federal";"Brasília";"20190111";"Brasil";"São Paulo";"Campinas";"Aéreo";",50";"Não"
"0000000000015734788";"1";"20190107";"Brasil";"São Paulo";"Campinas";"20190111";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"4,00";"Sim"
"0000000000015735178";"2";"20190102";"Brasil";"Distrito Federal";"Brasília";"20190102";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Veículo Oficial";",00";"Não"
"0000000000015735178";"1";"20190102";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190102";"Brasil";"Distrito Federal";"Brasília";"Veículo Oficial";",00";"Sim"
"0000000000015737480";"1";"20190124";"Brasil";"Distrito Federal";"Brasília";"20190124";"Brasil";"São Paulo";"Guarulhos";"Aéreo";",00";"Não"
"0000000000015737480";"2";"20190124";"Brasil";"São Paulo";"Guarulhos";"20190125";"Brasil";"São Paulo";"São José dos Campos";"Rodoviário";"1,00";"Sim"
"0000000000015737480";"4";"20190125";"Brasil";"São Paulo";"Guarulhos";"20190125";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",50";"Não"
"0000000000015737480";"3";"20190125";"Brasil";"São Paulo";"São José dos Campos";"20190125";"Brasil";"São Paulo";"Guarulhos";"Rodoviário";",00";"Não"
"0000000000015737922";"2";"20190102";"Brasil";"Distrito Federal";"Brasília";"20190102";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Veículo Oficial";",00";"Não"
"0000000000015737922";"1";"20190102";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190102";"Brasil";"Distrito Federal";"Brasília";"Veículo Oficial";",00";"Sim"
"0000000000015741213";"1";"20190102";"Brasil";"Distrito Federal";"Brasília";"20190102";"Brasil";"São Paulo";"Guarulhos";"Aéreo";",00";"Não"
"0000000000015741213";"4";"20190104";"Brasil";"São Paulo";"Guarulhos";"20190104";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015741213";"2";"20190102";"Brasil";"São Paulo";"Guarulhos";"20190104";"Brasil";"São Paulo";"São José dos Campos";"Rodoviário";",00";"Sim"
"0000000000015741213";"3";"20190104";"Brasil";"São Paulo";"São José dos Campos";"20190104";"Brasil";"São Paulo";"Guarulhos";"Rodoviário";",00";"Não"
"0000000000015741368";"2";"20190201";"Brasil";"Minas Gerais";"Belo Horizonte";"20190201";"Brasil";"Minas Gerais";"Poços de Caldas";"Rodoviário";",00";"Não"
"0000000000015741368";"1";"20190129";"Brasil";"Minas Gerais";"Poços de Caldas";"20190201";"Brasil";"Minas Gerais";"Belo Horizonte";"Rodoviário";",00";"Sim"
"0000000000015742639";"3";"20190125";"Brasil";"Pará";"Santarém";"20190125";"Brasil";"São Paulo";"Campinas";"Aéreo";",00";"Não"
"0000000000015742639";"1";"20190115";"Brasil";"São Paulo";"São Carlos";"20190115";"Brasil";"São Paulo";"Campinas";"Rodoviário";",00";"Não"
"0000000000015742639";"4";"20190125";"Brasil";"São Paulo";"Campinas";"20190125";"Brasil";"São Paulo";"São Carlos";"Rodoviário";",50";"Não"
"0000000000015742639";"2";"20190115";"Brasil";"São Paulo";"Campinas";"20190125";"Brasil";"Pará";"Santarém";"Aéreo";"10,00";"Sim"
"0000000000015744671";"1";"20190114";"Brasil";"São Paulo";"São Paulo";"20190117";"Brasil";"São Paulo";"São José dos Campos";"Veículo Oficial";",00";"Sim"
"0000000000015744671";"2";"20190117";"Brasil";"São Paulo";"São José dos Campos";"20190117";"Brasil";"São Paulo";"São Paulo";"Veículo Oficial";",00";"Não"
"0000000000015744731";"1";"20190109";"Brasil";"São Paulo";"São Paulo";"20190109";"Brasil";"São Paulo";"São José dos Campos";"Veículo Próprio";",00";"Sim"
"0000000000015744731";"3";"20190110";"Brasil";"São Paulo";"São Paulo";"20190110";"Brasil";"São Paulo";"São José dos Campos";"Veículo Próprio";",00";"Sim"
"0000000000015744731";"5";"20190111";"Brasil";"São Paulo";"São Paulo";"20190111";"Brasil";"São Paulo";"São José dos Campos";"Veículo Próprio";",00";"Sim"
"0000000000015744731";"6";"20190111";"Brasil";"São Paulo";"São José dos Campos";"20190111";"Brasil";"São Paulo";"São Paulo";"Veículo Próprio";",00";"Não"
"0000000000015744731";"4";"20190110";"Brasil";"São Paulo";"São José dos Campos";"20190111";"Brasil";"São Paulo";"São Paulo";"Veículo Próprio";",00";"Não"
"0000000000015744731";"2";"20190109";"Brasil";"São Paulo";"São José dos Campos";"20190110";"Brasil";"São Paulo";"São Paulo";"Veículo Próprio";",00";"Não"
"0000000000015745663";"3";"20190117";"Brasil";"São Paulo";"Gabriel Monteiro";"20190117";"Brasil";"São Paulo";"Araçatuba";"Veículo Oficial";",00";"Não"
"0000000000015745663";"4";"20190117";"Brasil";"São Paulo";"Araçatuba";"20190117";"Brasil";"São Paulo";"Campinas";"Aéreo";",00";"Não"
"0000000000015745663";"2";"20190114";"Brasil";"São Paulo";"Araçatuba";"20190117";"Brasil";"São Paulo";"Gabriel Monteiro";"Veículo Oficial";",00";"Sim"
"0000000000015745663";"1";"20190114";"Brasil";"São Paulo";"Campinas";"20190114";"Brasil";"São Paulo";"Araçatuba";"Aéreo";",00";"Não"
"0000000000015745749";"3";"20190117";"Brasil";"São Paulo";"Gabriel Monteiro";"20190117";"Brasil";"São Paulo";"Araçatuba";"Veículo Oficial";",00";"Não"
"0000000000015745749";"2";"20190114";"Brasil";"São Paulo";"Araçatuba";"20190117";"Brasil";"São Paulo";"Gabriel Monteiro";"Veículo Oficial";",00";"Sim"
"0000000000015745749";"4";"20190117";"Brasil";"São Paulo";"Araçatuba";"20190117";"Brasil";"São Paulo";"Campinas";"Aéreo";",00";"Não"
"0000000000015745749";"1";"20190114";"Brasil";"São Paulo";"Campinas";"20190114";"Brasil";"São Paulo";"Araçatuba";"Aéreo";",00";"Não"
"0000000000015745924";"2";"20190208";"Brasil";"São Paulo";"São Paulo";"20190208";"Brasil";"Paraná";"Curitiba";"Aéreo";",00";"Não"
"0000000000015745924";"1";"20190205";"Brasil";"Paraná";"Curitiba";"20190208";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Sim"
"0000000000015746359";"1";"20190108";"Brasil";"Distrito Federal";"Brasília";"20190108";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Sim"
"0000000000015746359";"2";"20190108";"Brasil";"São Paulo";"São Paulo";"20190108";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015747921";"1";"20190115";"Portugal";"";"Lisboa";"20190121";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015747994";"1";"20190115";"Portugal";"";"Lisboa";"20190121";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015749151";"2";"20190104";"Brasil";"Distrito Federal";"Brasília";"20190104";"Brasil";"São Paulo";"São Paulo";"Aéreo";",50";"Não"
"0000000000015749151";"1";"20190102";"Brasil";"São Paulo";"São Paulo";"20190104";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"2,00";"Sim"
"0000000000015749539";"2";"20190116";"Brasil";"Santa Catarina";"Florianópolis";"20190116";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Não"
"0000000000015749539";"1";"20190114";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190116";"Brasil";"Santa Catarina";"Florianópolis";"Aéreo";",00";"Sim"
"0000000000015751390";"1";"20190116";"Brasil";"Distrito Federal";"Brasília";"20190116";"Brasil";"São Paulo";"Guarulhos";"Aéreo";",00";"Sim"
"0000000000015751390";"3";"20190117";"Brasil";"São Paulo";"São Paulo";"20190117";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015751390";"2";"20190116";"Brasil";"São Paulo";"Guarulhos";"20190117";"Brasil";"São Paulo";"São Paulo";"Rodoviário";",00";"Não"
"0000000000015751428";"1";"20190116";"Brasil";"Distrito Federal";"Brasília";"20190116";"Brasil";"São Paulo";"Guarulhos";"Aéreo";",00";"Sim"
"0000000000015751428";"3";"20190117";"Brasil";"São Paulo";"São Paulo";"20190117";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015751428";"2";"20190116";"Brasil";"São Paulo";"Guarulhos";"20190117";"Brasil";"São Paulo";"São Paulo";"Rodoviário";",00";"Não"
"0000000000015752170";"1";"20190113";"Brasil";"Amazonas";"Manaus";"20190119";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Sim"
"0000000000015752170";"2";"20190119";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190119";"Brasil";"Amazonas";"Manaus";"Aéreo";",50";"Não"
"0000000000015753418";"1";"20190104";"Brasil";"Distrito Federal";"Brasília";"20190106";"Brasil";"Roraima";"Boa Vista";"Aéreo";",00";"Sim"
"0000000000015753418";"2";"20190106";"Brasil";"Roraima";"Boa Vista";"20190106";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015753683";"2";"20190104";"Brasil";"Distrito Federal";"Brasília";"20190104";"Brasil";"Pernambuco";"Recife";"Aéreo";",00";"Não"
"0000000000015753683";"1";"20190103";"Brasil";"Pernambuco";"Recife";"20190104";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015753698";"3";"20190109";"Brasil";"Minas Gerais";"Belo Horizonte";"20190109";"Brasil";"Minas Gerais";"Confins";"Rodoviário";",00";"Sim"
"0000000000015753698";"1";"20190108";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190108";"Brasil";"Minas Gerais";"Confins";"Aéreo";",00";"Não"
"0000000000015753698";"2";"20190108";"Brasil";"Minas Gerais";"Confins";"20190109";"Brasil";"Minas Gerais";"Belo Horizonte";"Rodoviário";",00";"Sim"
"0000000000015753698";"4";"20190109";"Brasil";"Minas Gerais";"Confins";"20190109";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Não"
"0000000000015753854";"3";"20190109";"Brasil";"Minas Gerais";"Belo Horizonte";"20190109";"Brasil";"Minas Gerais";"Confins";"Rodoviário";",00";"Sim"
"0000000000015753854";"1";"20190108";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190108";"Brasil";"Minas Gerais";"Confins";"Aéreo";",00";"Não"
"0000000000015753854";"2";"20190108";"Brasil";"Minas Gerais";"Confins";"20190109";"Brasil";"Minas Gerais";"Belo Horizonte";"Rodoviário";",00";"Sim"
"0000000000015753854";"4";"20190109";"Brasil";"Minas Gerais";"Confins";"20190109";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Não"
"0000000000015754067";"2";"20190103";"Brasil";"Distrito Federal";"Brasília";"20190103";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Não"
"0000000000015754067";"1";"20190101";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190103";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015754591";"1";"20190107";"Brasil";"Pernambuco";"Ilha de Itamaracá";"20190109";"Brasil";"Alagoas";"Porto de Pedras";"Veículo Oficial";",00";"Sim"
"0000000000015754591";"2";"20190109";"Brasil";"Alagoas";"Porto de Pedras";"20190109";"Brasil";"Pernambuco";"Ilha de Itamaracá";"Veículo Oficial";",00";"Não"
"0000000000015754650";"1";"20190107";"Brasil";"Pernambuco";"Tamandaré";"20190109";"Brasil";"Alagoas";"Porto de Pedras";"Veículo Oficial";",00";"Sim"
"0000000000015754650";"2";"20190109";"Brasil";"Alagoas";"Porto de Pedras";"20190109";"Brasil";"Pernambuco";"Tamandaré";"Veículo Oficial";",00";"Não"
